super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,opeid,institution_name,superopeid_name,multi,longitude,latitude,city,full_opeid,region,fips,cz,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
1203,Glendale Community College,Los Angeles,CA,40100,30500,32.359211,0.3114917,21.885973,0.56746334,7.0821285000000005,0.18362667,-11.834276,-11.087843,1437.0,1203,GLENDALE COMMUNITY COLLEGE,GLENDALE COMMUNITY COLLEGE,0,-112.190735,33.570226,Glendale,107600.0,4,6,38300,6037,Los Angeles,91208,9,Two-year (public and private not-for-profit),1,2,1,999,1868.5347,2742.5244,0,0,15744,15596.0,1175.0,315.0,0.1932479627473807,0.3279132791327913,8263.0,59851.180076628356,,,2861.0,,30800.0,277.72556000000003,44310190.0,28447440.0,0.14458835,0.025070531,0.25307772,0.036611952,3.6414565999999997,27.310925,11.344538,32.633053000000004,1.6806723000000001,8.9635849,4.061624500000001,10.364146
1203,Glendale Community College,Los Angeles,CA,40100,30500,32.359211,0.3114917,21.885973,0.56746334,7.0821285000000005,0.18362667,-11.834276,-11.087843,1437.0,1203,GLENDALE COMMUNITY COLLEGE,GLENDALE COMMUNITY COLLEGE,0,-118.22766599999999,34.16745,Glendale,120300.0,4,6,38300,6037,Los Angeles,91208,9,Two-year (public and private not-for-profit),1,2,1,999,1868.5347,2742.5244,0,0,15744,15596.0,1175.0,315.0,0.1932479627473807,0.3279132791327913,8263.0,59851.180076628356,,,2861.0,,30800.0,277.72556000000003,44310190.0,28447440.0,0.14458835,0.025070531,0.25307772,0.036611952,3.6414565999999997,27.310925,11.344538,32.633053000000004,1.6806723000000001,8.9635849,4.061624500000001,10.364146
31034,South Texas College,Brownsville,TX,23900,27500,52.360695,0.071010314,13.195425,0.23679268,6.9092164,0.12398629,-18.819628,-11.532767,1881.333333333333,31034,SOUTH TEXAS COLLEGE,SOUTH TEXAS COLLEGE,0,-98.25363399999999,26.217591,McAllen,3103400.0,3,48,31600,48215,Hidalgo,78502,7,Nonselective four-year public,1,1,1,999,2082.7349,1992.7892,0,0,31232,11319.0,3590.0,1923.0,1.0,,5953.0,37015.95438596491,,,1181.0,,29100.0,19.316282,57469907.0,22991716.0,0.0060959449,0.0006184292099999999,0.94681507,0.0,0.34762457,19.351101,35.457706,0.69524908,6.836616499999999,12.398609,14.252607000000001,10.660487
4759,CUNY York College,New York,NY,36500,36400,30.660444000000002,0.061246876,22.242035,0.29296112,6.8195065999999995,0.089823179,-7.5450883,-9.301075,368.0,4759,CUNY YORK COLLEGE,CUNY YORK COLLEGE,0,-73.796313,40.701576,Jamaica,475900.0,1,36,19400,36081,Queens,11451,5,Selective public,1,1,1,5,3637.2622,5785.8081,0,0,8261,5357.0,6396.0,3292.0,,,7001.0,,900.0,805.0,4087.0,0.64899999,38200.0,,,,0.10490946,0.61750978,0.16016427,0.040694419,5.4502368,20.734598000000002,8.6492891,2.7251184,7.3459716,17.772512,37.322272999999996,0.0
2812,Trocaire College,Buffalo,NY,65400,38200,23.652473,0.23571844,28.479484999999997,0.094428927,6.736102099999999,0.022334775,-5.20193,-3.2798277999999996,82.5,2812,TROCAIRE COLLEGE,TROCAIRE COLLEGE,0,-78.812398,42.846693,Buffalo,281200.0,1,36,18000,36029,Erie,14220,8,Nonselective four-year private not-for-profit,2,1,0,999,4146.3872,5362.625,0,0,1492,681.0,15820.0,,,0.4788732394366196,5215.0,30118.625,,,16307.0,0.031099999,36100.0,,7442235.0,2118269.0,0.0029368575,0.15712188,0.016152717,0.0073421439000000005,0.0,5.652174,83.478264,3.0434783,0.0,4.7826085,3.0434783,0.0
20983,"Western Technical College of El Paso, TX",El Paso,TX,30500,23900,43.691811,0.0505221,15.413422,0.0,6.734403100000001,0.0,-10.416098,-7.0224338,224.0,20983,WESTERN TECHNICAL COLLEGE,"WESTERN TECHNICAL COLLEGE OF EL PASO, TX",0,-106.31926899999999,31.675953000000003,El Paso,2098300.0,3,48,30601,48141,El Paso,79927,11,Two-year for-profit,3,2,0,999,3054.9587,3140.0386,0,0,1466,700.0,,,0.5456855559174796,1.0,3282.4194,17752.88524771525,,,20171.346,,30600.0,,3525063.974761255,1402616.348571429,0.004285714600000001,0.045714285,0.80142856,0.0,0.0,0.0,27.153559,0.0,0.0,29.962546999999997,0.0,42.883896
20983,"Western Technical College of El Paso, TX",El Paso,TX,30500,23900,43.691811,0.0505221,15.413422,0.0,6.734403100000001,0.0,-10.416098,-7.0224338,224.0,20983,WESTERN TECHNICAL COLLEGE,"WESTERN TECHNICAL COLLEGE OF EL PASO, TX",0,-106.425881,31.877794,El Paso,2098301.0,3,48,30601,48141,El Paso,79927,11,Two-year for-profit,3,2,0,999,3054.9587,3140.0386,0,0,1466,700.0,,,0.5456855559174796,1.0,3282.4194,17752.88524771525,,,20171.346,,30600.0,,3525063.974761255,1402616.348571429,0.004285714600000001,0.045714285,0.80142856,0.0,0.0,0.0,27.153559,0.0,0.0,29.962546999999997,0.0,42.883896
20983,"Western Technical College of El Paso, TX",El Paso,TX,30500,23900,43.691811,0.0505221,15.413422,0.0,6.734403100000001,0.0,-10.416098,-7.0224338,224.0,20983,WESTERN TECHNICAL COLLEGE,"WESTERN TECHNICAL COLLEGE OF EL PASO, TX",0,-91.24619100000001,43.815309,La Crosse,384000.0,3,48,30601,48141,El Paso,79927,11,Two-year for-profit,3,2,0,999,3054.9587,3140.0386,0,0,1466,700.0,,,0.5456855559174796,1.0,3282.4194,17752.88524771525,,,20171.346,,30600.0,,3525063.974761255,1402616.348571429,0.004285714600000001,0.045714285,0.80142856,0.0,0.0,0.0,27.153559,0.0,0.0,29.962546999999997,0.0,42.883896
2621,New Jersey Institute Of Technology,Newark,NJ,84000,71600,10.139068,0.38414061,63.790905,1.0736407,6.467803,0.10885715,-2.1279979,-4.6048922999999995,612.6666666666666,2621,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY INSTITUTE OF TECHNOLOGY,0,-74.177113,40.741997,Newark,262100.0,1,34,19600,34013,Essex,7102,5,Selective public,1,1,1,3,6207.6772,7870.374,0,0,7317,8820.0,15648.0,6730.0,0.5767123287671233,0.4674457429048415,11262.0,79724.29386892178,1165.0,1140.0,11384.0,0.34529999,65300.0,4286.7349,67819000.0,51094000.0,0.22050737,0.11495476,0.11353557,0.06067057,0.0,10.160428,0.80213904,1.0695187,0.0,87.967911,0.0,0.0
1343,Woodbury University,Los Angeles,CA,61900,44300,18.690575,2.2754951,34.051167,0.0042108186,6.364358900000001,0.0007870261299999999,-8.2350988,-7.649632,115.6666666666667,1343,WOODBURY UNIVERSITY,WOODBURY UNIVERSITY,0,-118.34114699999999,34.208011,Burbank,134300.0,4,6,38300,6037,Los Angeles,91510,6,Selective private,2,1,0,5,4126.8057,11264.18,0,0,1357,1342.0,35048.0,18548.0,0.4465408805031447,0.4731182795698925,9365.0,57971.42857142857,,970.0,21584.0,0.4425,45600.0,,18532988.0,7295930.5,0.16828194,0.074008808,0.28898677,0.080176212,17.159763,47.928993,0.0,0.0,0.0,33.136093,1.7751479,0.0
2691,CUNY Borough Of Manhattan Community College,New York,NY,33500,31900,35.075352,0.10283593,17.514886999999998,0.13941236,6.1434078,0.04889937900000001,-2.1635275000000003,-4.0798979,2047.333333333333,2691,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,0,-74.011826,40.718790000000006,New York,269100.0,1,36,19400,36061,New York,10007,9,Two-year (public and private not-for-profit),1,2,1,999,2586.1401,4236.6113,0,0,24186,15875.0,4818.0,2590.0,,,6376.0,,,,6051.0,,34900.0,,,,0.097637795,0.38381103,0.30696064,0.11212599,0.0,36.9403,8.5820894,28.624733000000003,8.155650099999999,9.9680166,7.7292109,0.0
10051,CUNY Laguardia Community College,New York,NY,33800,31800,36.779635999999996,0.033236787000000004,16.46369,0.0,6.055285,0.0,-9.2045507,-8.4401712,1178.0,10051,CUNY LAGUARDIA COMMUNITY COLLEGE,CUNY LAGUARDIA COMMUNITY COLLEGE,0,-73.935057,40.7445,Long Island City,1005100.0,1,36,19400,36081,Queens,11101,9,Two-year (public and private not-for-profit),1,2,1,999,3573.2588,4708.0601,0,0,19564,11778.0,4866.0,2622.0,,,6670.0,,,,7314.0,,33000.0,,,,0.14620478,0.1945152,0.37366277,0.10027169,0.74738413,31.614349,20.179373000000002,5.381166,0.0,13.527654,16.816143,11.733932000000001
2597,Bloomfield College,Newark,NJ,40800,35600,26.851263,0.017513698,22.484524,0.54988819,6.0373793,0.14765193,-8.6646423,-11.421399000000001,227.0,2597,BLOOMFIELD COLLEGE,BLOOMFIELD COLLEGE,0,-74.19430899999999,40.795105,Bloomfield,259700.0,1,34,19600,34013,Essex,7003,6,Selective private,2,1,0,4,4210.936,7222.5869,0,0,1972,1785.0,26750.0,10950.0,0.3642172523961662,0.3568281938325991,7807.0,53886.58333333334,820.0,820.0,18549.0,0.45359999,39000.0,,14768542.0,6612361.5,0.036414567,0.48347339,0.16022409,0.017366948,14.107883,26.141079,7.4688797000000005,0.0,0.0,19.087137,33.195023,0.0
2692,CUNY Bronx Community College,New York,NY,29700,28700,40.972702000000005,0.09174853599999999,14.355651000000002,0.0054521114,5.8818979,0.0022338773,1.6001225000000001,-1.2388018,778.6666666666665,2692,CUNY BRONX COMMUNITY COLLEGE,CUNY BRONX COMMUNITY COLLEGE,0,-73.91204300000001,40.858112,Bronx,269200.0,1,36,19400,36005,Bronx,10453,9,Two-year (public and private not-for-profit),1,2,1,999,3620.7747,5243.084,0,0,11368,6928.0,4854.0,2610.0,,,6351.0,,,,7369.0,,31900.0,,,,0.017754041,0.36518475,0.53204387,0.043013855999999996,3.8140642999999996,25.864124,8.7008343,12.157331,16.090584,14.66031,15.017879,3.6948748
212,College Of Mount Saint Vincent And Manhattan College,New York,NY,94800,67900,9.2331686,1.737998,62.63895,1.8693921999999998,5.7835598,0.17260413,-1.2929488,-1.3199376,831.0,2703,COLLEGE OF MOUNT SAINT VINCENT,COLLEGE OF MOUNT SAINT VINCENT AND MANHATTAN COLLEGE,1,-73.908887,40.913657,Bronx,270300.0,1,36,19400,36005,Bronx,10471,6,Selective private,2,1,0,3,5725.5654,7912.6499,0,0,5072,4582.0,35247.195,16912.912,0.6642168314429319,0.6787713292516648,8715.2422,58266.719318347146,1035.7048,1055.3013,18490.154,0.31549603,59749.98,,24250893.56328864,14076859.81230904,0.063961238,0.09968288199999999,0.20946327,0.013097203,2.3640661,19.148935,10.992908,9.2198582,0.0,23.758865,34.515366,0.0
212,College Of Mount Saint Vincent And Manhattan College,New York,NY,94800,67900,9.2331686,1.737998,62.63895,1.8693921999999998,5.7835598,0.17260413,-1.2929488,-1.3199376,831.0,2758,MANHATTAN COLLEGE,COLLEGE OF MOUNT SAINT VINCENT AND MANHATTAN COLLEGE,1,-73.901893,40.889756,Riverdale,275800.0,1,36,19400,36005,Bronx,10471,6,Selective private,2,1,0,3,5725.5654,7912.6499,0,0,5072,4582.0,35247.195,16912.912,0.6642168314429319,0.6787713292516648,8715.2422,58266.719318347146,1035.7048,1055.3013,18490.154,0.31549603,59749.98,,24250893.56328864,14076859.81230904,0.063961238,0.09968288199999999,0.20946327,0.013097203,2.3640661,19.148935,10.992908,9.2198582,0.0,23.758865,34.515366,0.0
3614,Southwest Texas Junior College,Uvalde,TX,28100,28000,42.978165000000004,0.087250732,13.336742999999998,0.29788846,5.7318873,0.12802699,-13.313918,-4.7178062999999995,773.6666666666665,3614,SOUTHWEST TEXAS JUNIOR COLLEGE,SOUTHWEST TEXAS JUNIOR COLLEGE,0,-99.741237,29.219671,Uvalde,361400.0,3,48,32304,48463,Uvalde,78801,9,Two-year (public and private not-for-profit),1,2,1,999,2027.3906,2059.3638,0,0,5410,3715.0,3292.0,1192.0,0.2113207547169811,0.2060737527114968,5468.0,40453.548780487814,,,6284.0,,26500.0,872.7493900000001,11910414.0,7450911.0,0.0045760432,0.015612382,0.7510094,0.010497981000000002,0.0,19.293478,12.771739,0.0,2.4456522,5.978261,49.456520000000005,10.054348
122,Long Island University System,New York,NY,59000,39900,18.595896,1.504786,29.769797999999998,1.2805028,5.5359607,0.23812096,-5.608592,-10.476321,1677.0,2751,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY SYSTEM,1,-73.593678,40.820714,Brookville,275100.0,1,36,19400,36059,Nassau,11548,6,Selective private,2,1,0,4,5757.9165,7943.7056,0,0,13068,18317.0,34851.395,16920.0,0.3286180631120784,0.3272629887520085,10426.615,70801.35239567234,945.0,980.0,22224.202999999998,0.1692894,46000.0,,169734502.0,127951193.0,0.053249251,0.222018,0.087615259,0.015439192,6.5205173,13.996626999999998,28.667790999999998,2.3046656000000003,4.777965099999999,6.970208199999999,36.762226,0.0
1374,Albertus Magnus College,Bridgeport,CT,68600,43400,12.973523,0.35828912,42.551868,0.029414468,5.5204768,0.0038160929,0.18003123,-2.6047432,65.66666666666667,1374,ALBERTUS MAGNUS COLLEGE,ALBERTUS MAGNUS COLLEGE,0,-72.92384799999999,41.332519,New Haven,137400.0,1,9,20901,9009,New Haven,6511,6,Selective private,2,1,0,5,2578.0173,4813.6611,0,0,1278,2105.0,28930.0,14778.0,0.6062992125984252,0.569620253164557,7601.0,45315.06666666667,,1010.0,21573.0,0.3179,52200.0,,8356542.0,5225563.0,0.0094919037,0.18816304,0.074818537,0.0044667781,2.3980815,72.422066,0.0,8.8729019,0.95923263,1.1990408000000001,14.148682,0.0
2638,Saint Peter's University,Newark,NJ,59700,45500,20.468721,0.37753019,26.857879999999998,0.70686686,5.497465099999999,0.14468661,-8.1598988,-8.7430429,447.66666666666674,2638,SAINT PETER'S UNIVERSITY,SAINT PETER'S UNIVERSITY,0,-74.071541,40.727105,Jersey City,263800.0,1,34,19600,34017,Hudson,7306,6,Selective private,2,1,0,5,4082.563,6591.0952,0,0,2484,3282.0,33232.0,15606.0,0.533213644524237,0.4307004470938897,8274.0,54789.49557522125,900.0,925.0,12898.0,0.45919999,44500.0,,19630277.0,11713426.0,0.072199479,0.18496464,0.26944548,0.018235952,4.677060099999999,37.861916,12.47216,2.8953227999999998,3.1180401,15.367484,23.608017,0.0
1155,San Jose State University,San Jose,CA,91700,56500,11.658612,0.96155322,46.557117,1.8367313000000003,5.427913200000001,0.21413738,-4.1787972,-7.0231481,2182.333333333334,1155,SAN JOSE STATE UNIVERSITY,SAN JOSE STATE UNIVERSITY,0,-121.88062099999999,37.336569,San Jose,115500.0,4,6,37500,6085,Santa Clara,95192,5,Selective public,1,1,1,4,4871.2554,5421.9053,0,0,25862,26698.0,7323.0,1857.0,0.4809061488673139,0.3602324080051646,9155.0,70120.13981358189,1040.0,995.0,9571.0,0.3653,54600.0,1260.3961,175775146.0,125573168.0,0.39988409999999996,0.043117184,0.14992033,0.041330695,11.248736,28.109201000000002,7.8361982999999995,3.2608695,5.182002099999999,23.053589000000002,21.309402,0.0
2782,New York Institute Of Technology,New York,NY,78500,49900,14.60806,1.5220797,36.985092,0.010352842,5.4028044,0.0015123492000000001,-6.080258799999999,-7.4753737000000005,637.3333333333334,2782,NEW YORK INSTITUTE OF TECHNOLOGY,NEW YORK INSTITUTE OF TECHNOLOGY,0,-73.6078,40.812447,Old Westbury,278200.0,1,36,19400,36059,Nassau,11568,6,Selective private,2,1,0,3,8532.9619,11993.791000000001,0,0,4456,5898.0,32180.0,,,,11418.0,,1065.0,,19148.0,0.25929999,49400.0,,,,0.11795544,0.096985586,0.05668414,0.072083883,8.278145799999999,19.536425,13.576159,10.596026,0.0,32.450333,14.238411,1.3245033000000002
2613,New Jersey City University,Newark,NJ,51600,41200,20.409746,0.0940018,26.058467999999998,0.0,5.3184670999999994,0.0,0.95113039,2.3650267000000005,783.6666666666665,2613,NEW JERSEY CITY UNIVERSITY,NEW JERSEY CITY UNIVERSITY,0,-74.08726999999999,40.709937,Jersey City,261300.0,1,34,19600,34017,Hudson,7305,5,Selective public,1,1,1,4,4589.8198,7012.4287,0,0,6437,8342.0,10852.0,4643.0,0.3174114021571649,0.3145009416195857,9101.0,65759.21224489796,890.0,848.5,8561.0,0.58710003,41900.0,308.75751,59305261.0,30362810.0,0.088465147,0.1894342,0.28352609,0.022038138,11.098778999999999,20.088791,11.54273,0.0,10.321864,15.871254,31.07658,0.0
2032,Xavier University Of Louisiana,New Orleans,LA,63100,48400,16.702759,0.39558756,31.462702,2.1135638,5.2551394,0.35302347,2.2524054000000002,8.3640871,657.3333333333334,2032,XAVIER UNIVERSITY OF LOUISIANA,XAVIER UNIVERSITY OF LOUISIANA,0,-90.10730699999999,29.964161999999998,New Orleans,203200.0,3,22,3300,22071,Orleans,70125,6,Selective private,2,1,0,4,5086.9043,7533.9409,1,0,2504,3797.0,21552.0,10100.0,0.478448275862069,0.5735080058224163,8252.0,48120.75462962963,1005.0,980.0,19220.0,0.45570001,46500.0,,23978178.0,19433334.0,0.023447016,0.92722291,0.0033495736,0.019183923000000002,5.8064513,10.32258,2.3655912999999997,0.0,0.0,53.763439,27.741936,0.0
3625,Sul Ross State University,Alpine,TX,45000,37100,23.651514000000002,0.12868352,22.195349,1.4832546,5.2495365,0.3508122,-4.3597102,-2.4164248,285.3333333333333,3625,SUL ROSS STATE UNIVERSITY,SUL ROSS STATE UNIVERSITY,0,-103.65146899999999,30.363139,Alpine,362500.0,3,48,31404,48043,Brewster,79832,5,Selective public,1,1,1,5,3636.6736,4827.2124,0,0,2003,2838.0,5676.0,2052.0,0.2791666666666667,0.1578947368421053,6180.0,47558.009009009016,,,9121.0,0.47799999,38000.0,2566.3308,12937877.0,10539983.0,0.0030150753000000004,0.030653266000000002,0.5442210999999999,0.0025125628,10.485933000000001,10.997442,4.092071499999999,43.734016,9.2071609,10.997442,10.485933000000001,0.0
1050,Tuskegee University,Auburn,AL,54400,38900,18.653945999999998,0.16463323,28.048244,0.0,5.2321043,0.0,-3.1784654,-1.9533306000000001,522.6666666666666,1050,TUSKEGEE UNIVERSITY,TUSKEGEE UNIVERSITY,0,-85.708492,32.4309,Tuskegee,105000.0,3,1,9800,1087,Macon,36088,6,Selective private,2,1,0,4,9453.2734,11172.302,1,0,2584,2826.0,19570.0,10084.0,0.4384422110552764,0.4950617283950617,6679.0,48519.639830508466,920.0,900.0,27806.0,0.64889997,37100.0,,34858570.0,23714882.0,0.0,0.97040939,0.00040535064,0.01337657,3.3573141000000004,18.465229,6.954436299999999,0.0,5.275779200000001,48.441246,17.266188,0.23980816
9635,Florida International University,Miami,FL,66700,46800,15.013785,1.2021190000000002,34.801066999999996,0.78079391,5.224957900000001,0.11722673,-2.0987065,-2.6548076000000003,2864.5,9635,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA INTERNATIONAL UNIVERSITY,0,-80.373928,25.75732,Miami,963500.0,3,12,7000,12086,,33199,5,Selective public,1,1,1,3,2999.4409,5691.3062,0,0,39142,31945.0,6497.0,2409.0,0.5160990712074304,0.4436619718309859,9653.0,60073.63383838384,1080.0,1125.0,9183.0,0.56959999,45100.0,1387.9088,245298536.0,104278472.0,0.035466403,0.14457326,0.54614449,0.07135230299999999,5.6699781,29.416040000000002,9.9830389,2.8592197999999995,7.7295856,17.591471,26.750666,0.0
